isogroup100038	sp|Q1ZXK2|FORG_DICDI
isogroup207112	sp|Q9FL12|DEGP9_ARATH
isogroup207114	sp|O65421|VP281_ARATH
isogroup207128	sp|Q05860|FMN1_MOUSE
isogroup207129	sp|Q7S8W7|ESF2_NEUCR
isogroup207139	sp|A9JRD8|BTB6A_DANRE
isogroup207153	sp|Q9D6T1|TBE_MOUSE
isogroup207167	sp|Q869L4|FNKA_DICDI
isogroup207179	sp|Q9AWK2|CML11_ORYSJ
isogroup207189	sp|Q15149|PLEC_HUMAN
isogroup207197	sp|Q01484|ANK2_HUMAN
isogroup207201	sp|O00567|NOP56_HUMAN
isogroup207223	sp|Q8NBN7|RDH13_HUMAN
isogroup207225	sp|Q9R1P4|PSA1_MOUSE
isogroup207243	sp|E2JA31|DDAF_ENTAG
isogroup207246	sp|B5XAM2|ICT1_SALSA
isogroup207255	sp|B1J606|STHA_PSEPW
isogroup207273	sp|P50108|MNN10_YEAST
isogroup207288	sp|P46597|ASMT_HUMAN
isogroup207292	sp|Q96SE0|ABHD1_HUMAN
isogroup207294	sp|Q15JG7|VLDW_STRHL
isogroup207305	sp|P17439|GLCM_MOUSE
isogroup207306	sp|Q641Y8|DDX1_RAT
isogroup2073060	sp|Q641Y8|DDX1_RAT
isogroup2073061	sp|Q641Y8|DDX1_RAT
isogroup207319	sp|Q96CN5|LRC45_HUMAN
isogroup207324	sp|Q79VC4|PROP_CORGL
isogroup207329	sp|Q8VHK2|CSKI1_RAT
isogroup207342	sp|Q75HZ9|SPS2_ORYSJ
isogroup207345	sp|Q9VPF0|ATK_DROME
isogroup207348	sp|Q9L9G0|NOVH_STRNV
isogroup207351	sp|Q9YB13|NPD_AERPE
isogroup207365	sp|Q899D2|LGT_CLOTE
isogroup207371	sp|Q29449|AT8A1_BOVIN
isogroup207375	sp|P53699|CDC4_CANAX
isogroup207379	sp|B7PRF6|MTND_IXOSC
isogroup207384	sp|Q54F46|WARA_DICDI
isogroup207389	sp|Q9M390|PTR1_ARATH
isogroup207390	sp|Q0CP15|NST1_ASPTN
isogroup207391	sp|Q40300|FCPF_MACPY
isogroup207400	sp|Q21017|KIN29_CAEEL
isogroup207430	sp|Q0GZS3|USP_CUCME
isogroup207438	sp|A4FLW9|RHMD_SACEN
isogroup207491	sp|P35317|AT1A_HYDVU
isogroup207537	sp|Q6WWW4|UPL3_ARATH
isogroup207538	sp|D3YY23|LONF1_MOUSE
isogroup207548	sp|Q8NEM8|CBPC3_HUMAN
isogroup207550	sp|Q7Z406|MYH14_HUMAN
isogroup207569	sp|Q9LTA6|WAV3_ARATH
isogroup207579	sp|Q8VZE7|RAP_ARATH
isogroup207593	sp|Q9W770|SPON1_CHICK
isogroup207595	sp|Q60EX6|BSL1_ORYSJ
isogroup207598	sp|Q43092|SSG1_PEA
isogroup207616	sp|Q3TDQ1|STT3B_MOUSE
isogroup207628	sp|Q9M8L9|AVT6E_ARATH
isogroup207646	sp|P34899|GLYM_PEA
isogroup207652	sp|Q08473|SQD_DROME
isogroup207665	sp|Q2MFP1|DOIS_STRRY
isogroup207674	sp|Q9SIC9|PP178_ARATH
isogroup20769	sp|P87139|YDM9_SCHPO
isogroup207711	sp|A2BR65|RL33_PROMS
isogroup207727	sp|Q04759|KPCT_HUMAN
isogroup207730	sp|Q5XIJ5|AB17A_RAT
isogroup20775	sp|Q9USW3|YHZ7_SCHPO
isogroup207763	sp|P71016|GBSA_BACSU
isogroup207764	sp|Q9SH76|PMA6_ARATH
isogroup207773	sp|B8CXL0|DNAJ_HALOH
isogroup207778	sp|C8VK14|HXNY_EMENI
isogroup207809	sp|Q9NDJ2|DOM_DROME
isogroup207845	sp|Q2U6U0|PPIL1_ASPOR
isogroup207866	sp|Q9VBP3|TNKS_DROME
isogroup207873	sp|Q9IAL8|NCKX1_CHICK
isogroup207908	sp|Q6ZQ11|CHSS1_MOUSE
isogroup207918	sp|Q12362|RIB2_YEAST
isogroup207927	sp|B4LIG6|KLHDB_DROVI
isogroup20793	sp|Q9XGM8|MGAT1_ARATH
isogroup207934	sp|O18158|OGT1_CAEEL
isogroup20795	sp|Q94A06|M2K1_ARATH
isogroup207985	sp|P08183|MDR1_HUMAN
isogroup207991	sp|P21863|FKBX_PSEFL
isogroup207994	sp|O50314|BCHH_CHLP8
isogroup208038	sp|Q8LB33|FB330_ARATH
isogroup208053	sp|Q9ZGI4|PIKA2_STRVZ
isogroup208057	sp|P47943|IF4A_SCHPO
isogroup208096	sp|O15084|ANR28_HUMAN
isogroup208106	sp|Q4KGQ4|DEGPL_PSEF5
isogroup208130	sp|Q8YRI1|YY46_NOSS1
isogroup208146	sp|Q8IBS5|CDPK4_PLAF7
isogroup2081462	sp|Q8IBS5|CDPK4_PLAF7
isogroup2081463	sp|Q8IBS5|CDPK4_PLAF7
isogroup2081464	sp|Q7RJG2|CDPK4_PLAYO
isogroup20817	sp|C0QGP2|RLME_DESAH
isogroup208170	sp|Q8BGA9|OXA1L_MOUSE
isogroup208187	sp|Q99758|ABCA3_HUMAN
isogroup20819	sp|Q04595|PYRB_TREDE
isogroup208243	sp|Q50KB1|SEP2_EMIHU
isogroup208262	sp|Q196Z3|VF197_IIV3
isogroup208265	sp|Q9Z2B9|KS6A4_MOUSE
isogroup208306	sp|Q9H490|PIGU_HUMAN
isogroup208319	sp|P37709|TRHY_RABIT
isogroup208330	sp|Q9ZVH4|CUL3A_ARATH
isogroup208361	sp|F4ILR7|DEXH1_ARATH
isogroup208362	sp|A8DZH4|XPR1_DANRE
isogroup208372	sp|A7YWC4|ATAD3_BOVIN
isogroup208381	sp|Q4QQU7|GRTP1_RAT
isogroup208416	sp|Q6Z8B9|P2C12_ORYSJ
isogroup208430	sp|O23066|C86A2_ARATH
isogroup208435	sp|Q653P0|KOR1_ORYSJ
isogroup20844	sp|Q15149|PLEC_HUMAN
isogroup208445	sp|Q8L783|CAX5_ARATH
isogroup208452	sp|Q63663|GBP2_RAT
isogroup208476	sp|Q5DU05|CE164_MOUSE
isogroup208497	sp|Q9LYZ9|PP362_ARATH
isogroup208510	sp|Q0IIR9|KTNA1_XENTR
isogroup208529	sp|O57483|CAC1S_LITCT
isogroup208549	sp|Q6AXP6|CTSR2_RAT
isogroup208558	sp|B8GNX2|DNAJ_THISH
isogroup208564	sp|Q53RE8|ANR39_HUMAN
isogroup208575	sp|O76329|ACTNB_DICDI
isogroup208589	sp|Q9HPG5|TRPE1_HALSA
isogroup208604	sp|Q8C0T9|ADCYA_MOUSE
isogroup2086040	sp|Q8C0T9|ADCYA_MOUSE
isogroup208612	sp|Q8NEZ3|WDR19_HUMAN
isogroup208621	sp|A0A0I9QGZ2|TKT_GEOSE
isogroup208635	sp|F4JEX5|FIGL1_ARATH
isogroup208654	sp|Q4R6Y6|SNPC3_MACFA
isogroup208687	sp|P72935|Y1017_SYNY3
isogroup208691	sp|Q9JK25|CLIP1_RAT
isogroup208692	sp|P94593|YWQA_BACSU
isogroup208701	sp|Q7Z3Z4|PIWL4_HUMAN
isogroup208706	sp|Q99NH0|ANR17_MOUSE
isogroup208707	sp|P0C584|PLPL_NEUCR
isogroup208754	sp|P28734|AATC_DAUCA
isogroup208771	sp|F4KD71|DUR3_ARATH
isogroup208778	sp|Q8DHU4|SECA_THEEB
isogroup208779	sp|Q9LVE4|CSCL4_ARATH
isogroup208792	sp|P51135|UCRI5_TOBAC
isogroup208793	sp|Q9W332|CUBN_DROME
isogroup208801	sp|Q8YRI1|YY46_NOSS1
isogroup208841	sp|P49215|RS17_SOLLC
isogroup208855	sp|Q91ZG2|MPPD1_MOUSE
isogroup208905	sp|P46293|RS16_GOSHI
isogroup208919	sp|A2RSJ4|UH1BL_MOUSE
isogroup208922	sp|O43497|CAC1G_HUMAN
isogroup208935	sp|Q552S0|NHE1_DICDI
isogroup208954	sp|P0DPA0|PAHX_DICDI
isogroup208975	sp|A2QYU7|FAEC_ASPNC
isogroup208977	sp|Q9USI5|STI1_SCHPO
isogroup208990	sp|O80929|RL361_ARATH
isogroup208995	sp|Q9LZS3|GLGB2_ARATH
isogroup208998	sp|Q93YR2|BASS1_ARATH
isogroup209010	sp|H2A0K6|VRP_PINMG
isogroup209016	sp|O88457|SCNBA_RAT
isogroup209035	sp|Q22000|PDE4_CAEEL
isogroup209051	sp|Q6DC39|DESI2_DANRE
isogroup209061	sp|Q7MVQ6|IF3_PORGI
isogroup209072	sp|O94451|PLI1_SCHPO
isogroup209082	sp|Q9VYY9|EVI5_DROME
isogroup209133	sp|O76083|PDE9A_HUMAN
isogroup209138	sp|O57483|CAC1S_LITCT
isogroup209139	sp|Q9FHN8|KN14E_ARATH
isogroup209148	sp|Q8BGT9|GLT12_MOUSE
isogroup209164	sp|P41129|RL132_BRANA
isogroup209177	sp|Q9FJL3|FKB65_ARATH
isogroup209189	sp|F4JZY1|CIP1_ARATH
isogroup209210	sp|Q937N7|PRPF_CUPNE
isogroup209236	sp|O74327|AVT5_SCHPO
isogroup209239	sp|F4JTS8|NOV_ARATH
isogroup209241	sp|A0A1P8AUY4|MDN1_ARATH
isogroup209249	sp|P14735|IDE_HUMAN
isogroup209269	sp|Q5PP70|NTM1_ARATH
isogroup209289	sp|P51327|FTSH_PORPU
isogroup209290	sp|P59723|HIF1N_DANRE
isogroup209299	sp|Q68CJ6|SLIP_HUMAN
isogroup209301	sp|P46824|KLC_DROME
isogroup2093010	sp|P46824|KLC_DROME
isogroup2093011	sp|P46824|KLC_DROME
isogroup2093012	sp|P46824|KLC_DROME
isogroup2093013	sp|P46824|KLC_DROME
isogroup2093014	sp|P46824|KLC_DROME
isogroup2093015	sp|P46824|KLC_DROME
isogroup2093016	sp|P46824|KLC_DROME
isogroup2093017	sp|P46824|KLC_DROME
isogroup2093018	sp|P46824|KLC_DROME
isogroup2093019	sp|P46824|KLC_DROME
isogroup209308	sp|Q13608|PEX6_HUMAN
isogroup209318	sp|Q94EI9|PT314_ARATH
isogroup209321	sp|Q9LZQ9|DEAH2_ARATH
isogroup209323	sp|P50846|ALKH_BACSU
isogroup209370	sp|Q9P2E3|ZNFX1_HUMAN
isogroup209372	sp|Q01781|SAHH_PETCR
isogroup209406	sp|P16171|MERA_BACCE
isogroup209416	sp|Q9C512|MNS1_ARATH
isogroup209419	sp|O49923|ADK_PHYPA
isogroup209422	sp|Q8LBL1|KCO1_ARATH
isogroup209427	sp|P14105|MYH9_CHICK
isogroup2094271	sp|P14105|MYH9_CHICK
isogroup2094273	sp|P14105|MYH9_CHICK
isogroup2094274	sp|P14105|MYH9_CHICK
isogroup2094275	sp|P14105|MYH9_CHICK
isogroup2094276	sp|P14105|MYH9_CHICK
isogroup209452	sp|Q6K9G1|AMT12_ORYSJ
isogroup209456	sp|Q552R1|DCAF7_DICDI
isogroup209457	sp|P14540|ALF_YEAST
isogroup209460	sp|P37709|TRHY_RABIT
isogroup209483	sp|O07427|MGLL_MYCTU
isogroup209490	sp|Q96Q27|ASB2_HUMAN
isogroup209498	sp|Q6NZL8|SCUB1_MOUSE
isogroup209507	sp|O88751|CABP1_RAT
isogroup209509	sp|Q99246|CAC1D_MOUSE
isogroup209511	sp|O82637|P2C61_ARATH
isogroup209527	sp|P81370|TLP_ACTDE
isogroup209532	sp|Q96SL1|DIRC2_HUMAN
isogroup209558	sp|Q9GPM4|PGK_DICDI
isogroup209569	sp|P37610|TAUD_ECOLI
isogroup209571	sp|Q9Y7Z3|ACBP_SCHPO
isogroup209625	sp|Q9JKB8|PRP18_RAT
isogroup209632	sp|Q6P2K3|CC067_MOUSE
isogroup209654	sp|A0LTX3|Y1111_ACIC1
isogroup209667	sp|P39398|LGOT_ECOLI
isogroup209675	sp|P13060|EF2_DROME
isogroup209676	sp|Q5DTY9|KCD16_MOUSE
isogroup209689	sp|P0CP22|CCR4_CRYNJ
isogroup209693	sp|A9BEU2|GGS_PETMO
isogroup209698	sp|Q54I71|AARA_DICDI
isogroup209709	sp|E5A7I6|CBPYA_LEPMJ
isogroup209718	sp|B8LCD8|NNRE_THAPS
isogroup209737	sp|O34940|YVRE_BACSU
isogroup209785	sp|Q9ULH0|KDIS_HUMAN
isogroup209805	sp|Q6PAV2|HERC4_MOUSE
isogroup209812	sp|O82663|SDHA1_ARATH
isogroup209819	sp|Q8MPF7|RSSA_TOXGO
isogroup209852	sp|Q3ZC89|MAP2_BOVIN
isogroup209859	sp|O86564|SDHL_STRCO
isogroup209870	sp|Q6F3A6|CDPKA_ORYSJ
isogroup209875	sp|B2RRE7|OTUD4_MOUSE
isogroup209877	sp|Q9AJU0|ELMM3_STROV
isogroup209918	sp|Q9LT17|BBR_ARATH
isogroup209921	sp|P09104|ENOG_HUMAN
isogroup209922	sp|Q9JIL8|RAD50_RAT
isogroup209935	sp|Q05549|HRQ1_YEAST
isogroup209939	sp|P40383|XRN1_SCHPO
isogroup209969	sp|Q4V3C8|PDPK2_ARATH
isogroup209971	sp|Q41144|STC_RICCO
isogroup209987	sp|Q9JKB0|HCN1_RAT
isogroup209999	sp|P84634|DCL4_ARATH
isogroup210042	sp|P05102|MTH1_HAEPH
isogroup210047	sp|P40978|RS19_ORYSJ
isogroup210054	sp|Q1RMP7|PPIL6_BOVIN
isogroup210059	sp|Q54JC0|CMBB_DICDI
isogroup21006	sp|A8LNY7|TAL_DINSH
isogroup210067	sp|Q9USW3|YHZ7_SCHPO
isogroup210071	sp|Q2XVR5|SC4AA_TETNG
isogroup210097	sp|Q6DFL0|C102A_XENLA
isogroup210129	sp|Q5K2N1|DET2_SOLLC
isogroup210139	sp|Q9PIN2|ZUPT_CAMJE
isogroup210142	sp|Q3ZBP8|CO040_BOVIN
isogroup210143	sp|O44006|KPYK_EIMTE
isogroup210148	sp|Q9ZGI5|PIKA1_STRVZ
isogroup210175	sp|C0LGV0|Y5487_ARATH
isogroup21018	sp|O06179|Y1533_MYCTU
isogroup210180	sp|P49086|PDS_MAIZE
isogroup210186	sp|Q9T0D6|PP306_ARATH
isogroup210198	sp|Q5R8G3|ERGI3_PONAB
isogroup210214	sp|Q5XG71|UTP20_MOUSE
isogroup210219	sp|B9DGY1|AB1K7_ARATH
isogroup210220	sp|Q7T6Y2|YR831_MIMIV
isogroup210221	sp|Q80XP9|WNK3_MOUSE
isogroup210225	sp|Q11011|PSA_MOUSE
isogroup210237	sp|O15397|IPO8_HUMAN
isogroup210273	sp|Q54IT3|AOFA_DICDI
isogroup210292	sp|Q6IRP4|ABHDD_XENLA
isogroup210295	sp|Q502M8|ERI2_DANRE
isogroup210302	sp|Q54S12|TM104_DICDI
isogroup210316	sp|Q6AXL5|HBAP1_DANRE
isogroup210321	sp|Q5ZMR3|PCMD1_CHICK
isogroup210333	sp|Q767L8|MDC1_PIG
isogroup210337	sp|Q0V8H6|MOV10_BOVIN
isogroup210349	sp|A1K5T6|SELO_AZOSB
isogroup210360	sp|Q6NRC7|TBC23_XENLA
isogroup210365	sp|O35245|PKD2_MOUSE
isogroup21039	sp|P27643|SP5K_BACSU
isogroup210395	sp|Q9SIC9|PP178_ARATH
isogroup210432	sp|Q9AUE0|CALS1_ARATH
isogroup210443	sp|P0A5F6|Y1866_MYCBO
isogroup210461	sp|Q940A2|P2C31_ARATH
isogroup210478	sp|Q9R053|SCNBA_MOUSE
isogroup210485	sp|Q08602|PGTA_RAT
isogroup210491	sp|Q9I9B9|CTL1_TORMA
isogroup210497	sp|P51957|NEK4_HUMAN
isogroup210547	sp|Q10137|SEC14_SCHPO
isogroup21056	sp|O74113|CDC45_SCHPO
isogroup210568	sp|P30182|TOP2_ARATH
isogroup210588	sp|G3X987|GIMA9_MOUSE
isogroup210597	sp|Q82WZ5|RLUD_NITEU
isogroup210600	sp|Q03611|CNG_CAEEL
isogroup210622	sp|P39598|YWBO_BACSU
isogroup210623	sp|A4IJ06|GRP1_XENTR
isogroup210625	sp|B6TNK6|MOC31_MAIZE
isogroup210628	sp|Q8BI21|RNF38_MOUSE
isogroup210646	sp|Q13976|KGP1_HUMAN
isogroup210668	sp|P0CQ06|PALB_CRYNJ
isogroup210676	sp|Q9V410|LZTR1_DROME
isogroup210684	sp|Q9EQK7|ICMT_MOUSE
isogroup210689	sp|P35187|SGS1_YEAST
isogroup210701	sp|Q00808|HETE1_PODAS
isogroup210708	sp|Q00808|HETE1_PODAS
isogroup210710	sp|Q5H8C4|VP13A_MOUSE
isogroup210740	sp|P0AC59|GLRX2_ECOLI
isogroup210769	sp|A6MVW9|ATPI_RHDSA
isogroup210777	sp|Q86Z98|KINH_GIBMO
isogroup21078	sp|Q8JZX4|SPF45_MOUSE
isogroup210813	sp|Q5RDG4|PDIA3_PONAB
isogroup210815	sp|P51568|AFC3_ARATH
isogroup210828	sp|Q9K0I2|PPSA_NEIMB
isogroup210856	sp|Q8KSC8|RDPA_SPHHM
isogroup210882	sp|Q6P158|DHX57_HUMAN
isogroup210892	sp|Q9EPU0|RENT1_MOUSE
isogroup210925	sp|P11976|PSTA_DICDI
isogroup210935	sp|A2ASS6|TITIN_MOUSE
isogroup210937	sp|Q99323|MYSN_DROME
isogroup210940	sp|A7GC28|ADD_CLOBL
isogroup210953	sp|Q9SK28|FH18_ARATH
isogroup210961	sp|Q6IMY8|HNRPU_RAT
isogroup210964	sp|Q9NF14|BAT40_CAEEL
isogroup211000	sp|Q8KSC8|RDPA_SPHHM
isogroup211004	sp|Q0B880|HCP_BURCM
isogroup211007	sp|Q7TMF2|ERI1_MOUSE
isogroup211027	sp|Q5JKF2|RH40_ORYSJ
isogroup21105	sp|P45844|ABCG1_HUMAN
isogroup211055	sp|Q8BPG6|SUMF2_MOUSE
isogroup211062	sp|Q9FNB0|CHLH_ARATH
isogroup211067	sp|Q9SK39|SBP3_ARATH
isogroup211091	sp|Q1RMH9|DNJC2_BOVIN
isogroup211093	sp|Q6PAC3|DCA13_MOUSE
isogroup211098	sp|P40806|PKSJ_BACSU
isogroup211099	sp|Q6IP09|PABPB_XENLA
isogroup211105	sp|P61800|APTX_TAKRU
isogroup211113	sp|Q4I9B7|STU1_GIBZE
isogroup211135	sp|O74411|MEU10_SCHPO
isogroup211156	sp|Q55G83|ABKC_DICDI
isogroup211189	sp|Q8N7Z2|GG6L1_HUMAN
isogroup211190	sp|A6UEY0|DNAK_SINMW
isogroup211201	sp|Q869W7|S35B4_DICDI
isogroup211205	sp|P97443|SMYD1_MOUSE
isogroup211217	sp|Q6P798|RCBT2_RAT
isogroup211218	sp|Q5R6D1|CATB_PONAB
isogroup211280	sp|P16157|ANK1_HUMAN
isogroup211281	sp|P46313|FAD6E_ARATH
isogroup211287	sp|Q8YRI1|YY46_NOSS1
isogroup211322	sp|Q9FF90|RL133_ARATH
isogroup211357	sp|Q5ENN5|RBL2_HETTR
isogroup211375	sp|Q63170|DYH7_RAT
isogroup21138	sp|A5D7C2|SDA1_BOVIN
isogroup21141	sp|P46279|RPB7_SOYBN
isogroup211446	sp|Q5B630|PABP_EMENI
isogroup211450	sp|Q8R5K2|UBP33_MOUSE
isogroup211461	sp|P0DKH3|RI2BL_ARATH
isogroup211473	sp|Q8H2T0|P2C65_ORYSJ
isogroup211509	sp|Q54WR9|GLNA3_DICDI
isogroup211513	sp|Q84L08|GFT1_ARATH
isogroup211525	sp|Q15751|HERC1_HUMAN
isogroup211527	sp|Q9VJE5|CL190_DROME
isogroup211542	sp|Q9LJX8|VPED_ARATH
isogroup211557	sp|Q80VL1|TDRKH_MOUSE
isogroup211558	sp|Q5ZKQ3|RPAP3_CHICK
isogroup211564	sp|A0A0H2URK1|PSRP_STRPN
isogroup211571	sp|Q01118|SCN7A_HUMAN
isogroup211577	sp|Q539E5|APX1_HYDVD
isogroup211607	sp|Q9VEU6|GCYDA_DROME
isogroup211612	sp|Q9VR91|HERC2_DROME
isogroup21164	sp|Q9AYU1|QR1_TRIVS
isogroup211642	sp|A2RT60|HTRA4_MOUSE
isogroup211657	sp|P0C6B8|SVEP1_RAT
isogroup211660	sp|Q05117|PPA5_MOUSE
isogroup211662	sp|Q6QLM7|KIF5A_RAT
isogroup211666	sp|P71411|BACS2_HALSA
isogroup211675	sp|Q3E9A0|ANTR6_ARATH
isogroup211679	sp|A1AK41|NHAA1_PELPD
isogroup211700	sp|Q9FFN2|GLYT3_ARATH
isogroup2117000	sp|Q9FFN2|GLYT3_ARATH
isogroup2117001	sp|Q9FFN2|GLYT3_ARATH
isogroup211768	sp|Q641X6|MORN1_RAT
isogroup21177	sp|Q9M8Y0|SEC_ARATH
isogroup21181	sp|Q43298|CH62_MAIZE
isogroup211812	sp|Q99JH1|RP25L_MOUSE
isogroup211816	sp|P9WLH7|Y2227_MYCTU
isogroup211849	sp|Q9HGM5|DBP8_SCHPO
isogroup211859	sp|Q05470|PKSL_BACSU
isogroup211875	sp|Q9LJI2|CCX3_ARATH
isogroup211881	sp|Q4VAE3|TMM65_MOUSE
isogroup211905	sp|Q07761|RL23A_TOBAC
isogroup211911	sp|O64624|PP163_ARATH
isogroup211912	sp|Q3T0W3|RN181_BOVIN
isogroup211924	sp|P09398|STRG_STRGR
isogroup2119241	sp|P09398|STRG_STRGR
isogroup2119242	sp|P09398|STRG_STRGR
isogroup2119243	sp|P09398|STRG_STRGR
isogroup2119244	sp|P09398|STRG_STRGR
isogroup211927	sp|Q39565|DYHB_CHLRE
isogroup211935	sp|Q7A362|SRAP_STAAN
isogroup211940	sp|O44006|KPYK_EIMTE
isogroup211957	sp|B5DKJ8|NFU1_DROPS
isogroup211959	sp|Q81BF4|C102_BACCR
isogroup212006	sp|Q5F468|S38A2_CHICK
isogroup212052	sp|Q9Z1L0|PK3CB_RAT
isogroup212061	sp|Q5UP57|P4H_MIMIV
isogroup212104	sp|P11275|KCC2A_RAT
isogroup212120	sp|A1L1P9|S47A1_DANRE
isogroup212124	sp|Q55BS1|CPSF2_DICDI
isogroup212129	sp|F4JML5|ECH2M_ARATH
isogroup2121489	sp|Q9P6S0|GSF2_SCHPO
isogroup212154	sp|O35660|GSTM6_MOUSE
isogroup212159	sp|Q9Y7Y7|GAS4_SCHPO
isogroup212163	sp|P67156|YQFA_SHIFL
isogroup212167	sp|Q9SH26|PP102_ARATH
isogroup212171	sp|Q4V339|CBWD6_HUMAN
isogroup212184	sp|Q8GZ84|PUB36_ARATH
isogroup212185	sp|O82782|HIS3_ARATH
isogroup212197	sp|A1A6H3|RBSK_ARATH
isogroup212215	sp|Q9WZ31|CORA_THEMA
isogroup212231	sp|Q55700|FTSH2_SYNY3
isogroup212237	sp|Q17CA7|MOCS3_AEDAE
isogroup212238	sp|Q80V70|MEGF6_MOUSE
isogroup21227	sp|Q5RDP9|AP3S2_PONAB
isogroup212272	sp|Q9ST43|PH1_ARATH
isogroup212295	sp|Q8N371|KDM8_HUMAN
isogroup212304	sp|Q9LW15|CX5B1_ARATH
isogroup212308	sp|Q69QZ0|P2C27_ORYSJ
isogroup2123080	sp|Q9SLA1|P2C22_ARATH
isogroup2123081	sp|Q8BGL1|PPM1N_MOUSE
isogroup2123082	sp|Q9SLA1|P2C22_ARATH
isogroup2123083	sp|Q69QZ0|P2C27_ORYSJ
isogroup2123084	sp|Q8BGL1|PPM1N_MOUSE
isogroup2123085	sp|Q8BGL1|PPM1N_MOUSE
isogroup2123086	sp|Q8BGL1|PPM1N_MOUSE
isogroup2123087	sp|Q69QZ0|P2C27_ORYSJ
isogroup2123088	sp|Q8BGL1|PPM1N_MOUSE
isogroup2123089	sp|Q8BGL1|PPM1N_MOUSE
isogroup212321	sp|Q41093|FCPE_PHATR
isogroup212323	sp|Q08935|ROC1_NICSY
isogroup212335	sp|P39158|CSPC_BACSU
isogroup212339	sp|Q15149|PLEC_HUMAN
isogroup212350	sp|Q8MNV7|SMAL1_CAEEL
isogroup212362	sp|Q9SLG9|PI5K5_ARATH
isogroup212364	sp|O01510|SMG1_CAEEL
isogroup212381	sp|Q9LFP1|VA713_ARATH
isogroup212420	sp|A8Y1P7|BRE4_CAEBR
isogroup212449	sp|Q5ZJ60|HIBCH_CHICK
isogroup212459	sp|Q9JIS7|CAC1F_MOUSE
isogroup212462	sp|Q9VCA8|ANKHM_DROME
isogroup212466	sp|Q24K02|IDE_BOVIN
isogroup212469	sp|Q5LRT0|DMDB_RUEPO
isogroup212482	sp|Q9P0P0|RN181_HUMAN
isogroup212487	sp|Q43088|RBCMT_PEA
isogroup2125	sp|Q8R0F3|SUMF1_MOUSE
isogroup212512	sp|P54144|AMT11_ARATH
isogroup212533	sp|H0YKK7|GG6LS_HUMAN
isogroup212561	sp|Q0VF96|CGNL1_HUMAN
isogroup212562	sp|Q54E49|DDX6_DICDI
isogroup212563	sp|Q80Y98|DDHD2_MOUSE
isogroup212582	sp|A1L4X0|CLT2_ARATH
isogroup212612	sp|O43246|CTR4_HUMAN
isogroup212618	sp|Q9SLK2|ALIS3_ARATH
isogroup212621	sp|Q8BM85|TBCK_MOUSE
isogroup2126505	sp|Q9ASW1|B3GTG_ARATH
isogroup212659	sp|Q29441|CNGA3_BOVIN
isogroup212664	sp|Q8PHB6|Y3343_XANAC
isogroup212707	sp|Q5NVE6|INT11_PONAB
isogroup212773	sp|Q6R5J2|DISP1_DANRE
isogroup212782	sp|O13755|OSM1_SCHPO
isogroup212786	sp|Q9VL06|UFD4_DROME
isogroup212796	sp|O23087|ECA2_ARATH
isogroup212802	sp|P23903|E13B_BACCI
isogroup212815	sp|Q1RK21|DER_RICBR
isogroup212821	sp|O62761|CHLE_PANTT
isogroup212837	sp|G4SLH0|TTN1_CAEEL
isogroup21284	sp|Q8LCV1|PLP3B_ARATH
isogroup21286	sp|Q80ZG5|SLU7_RAT
isogroup212877	sp|Q8C166|CPNE1_MOUSE
isogroup212879	sp|Q2TSC7|PCS1_LOTJA
isogroup212918	sp|Q9LTX4|POLLU_ARATH
isogroup212926	sp|Q28EL0|CCYL1_XENTR
isogroup212965	sp|Q9M9W9|P2C34_ARATH
isogroup212973	sp|P34308|CAN_CAEEL
isogroup2129730	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup2129731	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup2129733	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup2129737	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup2129738	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup212979	sp|Q9FJL0|SMC4_ARATH
isogroup212992	sp|Q5U4E6|GOGA4_RAT
isogroup213007	sp|G5ECB2|GABR2_CAEEL
isogroup213047	sp|Q7Z4H8|PLGT3_HUMAN
isogroup2130471	sp|Q7Z4H8|PLGT3_HUMAN
isogroup2130472	sp|Q7Z4H8|PLGT3_HUMAN
isogroup2130473	sp|Q7Z4H8|PLGT3_HUMAN
isogroup2130474	sp|Q7Z4H8|PLGT3_HUMAN
isogroup2130476	sp|Q7Z4H8|PLGT3_HUMAN
isogroup213048	sp|Q9LYN7|AML4_ARATH
isogroup213075	sp|Q9VBP3|TNKS_DROME
isogroup213078	sp|O74431|ATC9_SCHPO
isogroup213111	sp|Q54YD4|SYIC_DICDI
isogroup213120	sp|Q9UII4|HERC5_HUMAN
isogroup2131208	sp|Q9UII4|HERC5_HUMAN
isogroup213143	sp|Q47944|SDH_GLUOY
isogroup213149	sp|P73577|Y889_SYNY3
isogroup213159	sp|Q39593|SAC1_CHLRE
isogroup213168	sp|Q03042|KGP1_DROME
isogroup213178	sp|Q9LDI3|CIPKO_ARATH
isogroup21318	sp|Q8R5U4|COBD_CALS4
isogroup213204	sp|Q9NGP5|ABCG2_DICDI
isogroup213241	sp|Q5XIN7|PMGT1_RAT
isogroup213256	sp|Q40301|FCPE_MACPY
isogroup213262	sp|Q17FB8|GLT25_AEDAE
isogroup213280	sp|Q84MH1|RAP_ORYSJ
isogroup213284	sp|P22002|CAC1C_RAT
