isogroup100038	Q1ZXK2
isogroup170935	Q9TV66
isogroup170937	Q38873
isogroup170962	Q6Z8D0
isogroup170964	Q56K03
isogroup170969	Q7MGK4
isogroup170971	Q12184
isogroup170979	Q28FQ5
isogroup170988	Q8MSS1
isogroup170989	Q9VLC0
isogroup171007	A3LSZ2
isogroup171016	P37024
isogroup171019	P28340
isogroup171035	P0A962
isogroup171046	Q9I6J2
isogroup171048	Q796P5
isogroup171066	P43644
isogroup171068	P51956
isogroup171073	Q2YDW2
isogroup171084	Q10058
isogroup171094	P07519
isogroup171097	Q7ZVK3
isogroup171106	Q1MTR1
isogroup171111	A8KBL5
isogroup171118	Q2SVP3
isogroup171124	P23671
isogroup171150	Q9UVS8
isogroup171156	P16905
isogroup171218	P56092
isogroup171221	Q875R9
isogroup171229	Q6UPE0
isogroup171233	Q60603
isogroup171251	Q5BLE8
isogroup171253	Q9JLK7
isogroup171258	Q54VJ0
isogroup171282	Q2QTC2
isogroup171286	Q84L08
isogroup171289	Q2TA51
isogroup171293	Q9TV66
isogroup171294	D0E0C2
isogroup171297	D3ZBP4
isogroup171304	P00791
isogroup171320	Q22682
isogroup171324	O73888
isogroup171328	Q99758
isogroup171332	Q67XW5
isogroup171358	Q9Z221
isogroup171362	Q9LYZ9
isogroup171369	B3RFJ6
isogroup171391	F4JTS8
isogroup171411	Q9M041
isogroup171416	Q9JLI7
isogroup171420	Q23FE2
isogroup171439	P27115
isogroup171448	Q4N655
isogroup171454	Q7TNJ2
isogroup171482	A7MBI7
isogroup171486	Q8NNF6
isogroup171487	Q9FJH6
isogroup171507	Q8MKD1
isogroup171512	Q6F7T9
isogroup171518	Q61249
isogroup17152	P36594
isogroup171520	A4IHB9
isogroup171532	G2NFJ9
isogroup171534	A0R0B0
isogroup171535	Q56Y42
isogroup171537	O74800
isogroup171542	Q9FUZ0
isogroup171550	Q8K1E6
isogroup171588	Q7XYM4
isogroup171595	Q7TXM0
isogroup171598	Q3ZBR5
isogroup171608	Q9Y1C1
isogroup171625	P27164
isogroup171630	Q9FMK9
isogroup171633	Q5YLM1
isogroup171641	Q0E2Y1
isogroup171673	P50944
isogroup171689	Q2IBD4
isogroup171690	B1JQD9
isogroup1717	O49562
isogroup171772	Q55EQ3
isogroup171775	P33550
isogroup171784	Q9ZW12
isogroup171788	Q60EX6
isogroup171799	O02773
isogroup171808	Q9P3X9
isogroup171822	Q7TNK6
isogroup171829	P0CT84
isogroup171830	E9QAM5
isogroup171832	Q1AXW6
isogroup171835	Q53GD3
isogroup171837	Q90744
isogroup171852	Q54HY8
isogroup171857	Q54JL3
isogroup171869	Q9M8Z7
isogroup171870	P59723
isogroup171894	P53273
isogroup171910	P30427
isogroup171954	Q8BZ25
isogroup171961	Q8L725
isogroup171962	O13747
isogroup171978	Q52KE7
isogroup172003	Q1DCG7
isogroup172014	Q9MAA2
isogroup172035	O22609
isogroup172057	O34368
isogroup172066	P22738
isogroup172071	Q9UTR6
isogroup172078	O31853
isogroup172080	Q68DC2
isogroup172097	Q7SXS7
isogroup172107	Q8RWS8
isogroup172114	Q9P3T7
isogroup172119	Q5R8H0
isogroup172162	Q7XAP4
isogroup172177	Q0JEQ2
isogroup172208	Q8W4K1
isogroup172215	Q91V24
isogroup172221	Q22712
isogroup172226	Q8T126
isogroup172241	Q9ERD9
isogroup172248	Q54KD1
isogroup172260	Q9L7R4
isogroup172276	Q9FGK9
isogroup172290	Q07652
isogroup172315	Q076A3
isogroup172322	P16884
isogroup172338	M1C5M7
isogroup172356	A0BQL0
isogroup172358	P11055
isogroup172400	P32393
isogroup172436	Q9Z336
isogroup172443	Q9Z0Y8
isogroup172465	F4ILR7
isogroup1725	Q54GS1
isogroup172501	P37709
isogroup172504	Q58424
isogroup172542	Q8GX78
isogroup172549	Q9Z9E9
isogroup172551	Q8GYH8
isogroup172580	Q6PFX9
isogroup172594	Q03603
isogroup172634	Q9XIE6
isogroup172635	Q9SE33
isogroup172636	Q0VAA2
isogroup172646	Q8GW72
isogroup172653	Q5BGA9
isogroup172658	Q9WTV7
isogroup172669	B9FJ61
isogroup172677	Q9P0X4
isogroup172682	P46872
isogroup172688	Q9P2R6
isogroup172693	Q54BF6
isogroup172702	Q8W0Z9
isogroup172723	O82392
isogroup172748	Q8W0Z9
isogroup172756	Q8TB72
isogroup172777	Q9M0V0
isogroup172797	P11977
isogroup172818	Q14249
isogroup172827	Q28C22
isogroup172845	Q5L5A2
isogroup172853	P08799
isogroup172855	Q5Z6X0
isogroup172869	Q968X7
isogroup172872	Q86AS0
isogroup172873	Q8VEH6
isogroup172880	Q6IMY8
isogroup172892	P55390
isogroup172917	P56960
isogroup172948	Q4G3B5
isogroup172957	Q9S7Q2
isogroup172997	Q6EN45
isogroup173002	Q9V4N3
isogroup173012	G4MM92
isogroup173018	Q9FF61
isogroup173023	Q8IUD2
isogroup173024	Q55GN6
isogroup173039	Q9FV52
isogroup173083	Q8C0X8
isogroup173087	Q8RY89
isogroup173107	Q8R1R3
isogroup173117	Q7RAV5
isogroup173125	Q8N3J5
isogroup173136	P26047
isogroup173159	Q58955
isogroup173164	Q09911
isogroup173187	Q5UPD4
isogroup173199	Q54TC5
isogroup173212	P0CAZ0
isogroup173213	B0G143
isogroup173219	Q80VQ1
isogroup173220	Q4N594
isogroup173261	Q9P6M1
isogroup173270	Q9LSS3
isogroup173289	Q80WA4
isogroup173300	Q75VR0
isogroup173301	Q6GLK2
isogroup173311	Q9Y4W6
isogroup173314	Q60716
isogroup173321	Q8VZS9
isogroup173323	Q54KA7
isogroup173357	P21964
isogroup173376	Q502K3
isogroup173390	E9F8M3
isogroup173405	Q5ZM91
isogroup173414	Q25452
isogroup173447	Q6NLB1
isogroup173453	Q476K0
isogroup173456	Q9LXT9
isogroup173467	P62302
isogroup173475	Q5T4B2
isogroup173537	Q40983
isogroup173540	Q4UMH6
isogroup173548	A6X919
isogroup173571	Q4U2R1
isogroup173586	Q8UVD9
isogroup173587	Q10442
isogroup173595	Q968X7
isogroup173600	Q6MVL2
isogroup173620	Q5HZV9
isogroup173639	Q8RWG1
isogroup173658	Q6NPM8
isogroup173664	Q9FMF7
isogroup173709	G4WAW9
isogroup173712	P91645
isogroup173714	Q86IZ9
isogroup173722	P0AC59
isogroup173755	P37285
isogroup173760	Q9LKB9
isogroup173762	A9V2C1
isogroup17377	Q8KN33
isogroup173797	Q582G4
isogroup173815	Q40609
isogroup173822	Q2GAU7
isogroup173842	P81628
isogroup173848	Q9H0A0
isogroup173860	P24859
isogroup173865	A2AQP0
isogroup173881	P53355
isogroup173894	P27350
isogroup173907	P24733
isogroup173923	B0G159
isogroup173964	P73627
isogroup173975	O35242
isogroup173982	A0QNM2
isogroup173994	Q9Y236
isogroup174004	Q7ZUC7
isogroup174014	Q9ZQP1
isogroup174018	B5XAM2
isogroup174036	Q561P5
isogroup174040	Q8K4M9
isogroup174043	Q9SSX0
isogroup174067	A2WY46
isogroup174071	Q55BZ4
isogroup174073	Q8BYK8
isogroup174080	B2TZN1
isogroup174128	Q550A6
isogroup174141	Q61771
isogroup174178	Q8C6S9
isogroup174186	C9D7C2
isogroup174194	Q5ZLG8
isogroup174195	P19208
isogroup174213	Q8C3X8
isogroup174232	Q6L6S1
isogroup174239	Q8BP31
isogroup174242	Q54BM8
isogroup174249	C1DKY7
isogroup174255	D4B093
isogroup174269	P85001
isogroup174284	Q55FN7
isogroup174299	G1ESZ9
isogroup174306	Q99L04
isogroup174379	Q21268
isogroup174389	Q7Z442
isogroup174391	Q9Z0Y8
isogroup174404	P58137
isogroup174407	F8RP11
isogroup174423	Q8CJ40
isogroup174441	P21163
isogroup174486	C0SPB2
isogroup174549	P28968
isogroup174565	Q9V410
isogroup174571	P40796
isogroup174573	Q076A3
isogroup174587	O95180
isogroup174606	Q8R1F6
isogroup174668	Q2QY37
isogroup174677	O14026
isogroup174683	B5BAL1
isogroup174688	P23286
isogroup174704	Q7RJG2
isogroup174714	P81900
isogroup174720	P81497
isogroup174746	Q32N48
isogroup174765	O15050
isogroup174782	Q8S4F6
isogroup174800	P31521
isogroup174805	Q9NQQ7
isogroup174808	Q9NZN9
isogroup174827	A3BN26
isogroup174828	Q9BTT6
isogroup174846	P08472
isogroup174848	O80449
isogroup174860	Q13277
isogroup174871	P83501
isogroup174874	C9D7C2
isogroup174884	Q8RY89
isogroup174885	P80544
isogroup174887	Q0KBD2
isogroup174895	O45830
isogroup174903	Q6F6B3
isogroup174921	Q9JKA8
isogroup174954	F4HT21
isogroup174956	Q6ZMB0
isogroup174971	P11598
isogroup174985	P46870
isogroup174989	Q9NR30
isogroup174992	P0AFR6
isogroup174997	P51567
isogroup175015	Q7XBS0
isogroup175031	Q6P5L7
isogroup175042	Q555Q9
isogroup175043	Q7Z333
isogroup175047	Q64M78
isogroup175057	Q54EQ8
isogroup175065	Q7TML3
isogroup175067	Q86KP5
isogroup175106	Q8WTJ4
isogroup175117	B9EHT4
isogroup175148	Q0D5B9
isogroup175161	Q00808
isogroup175175	Q9LSX4
isogroup175178	P15705
isogroup175200	Q9NGQ2
isogroup175202	O31853
isogroup175213	Q45423
isogroup175216	Q9LJL9
isogroup175223	P14270
isogroup175228	Q3SYS4
isogroup175240	O54898
isogroup175245	A8MXZ3
isogroup175283	Q0JIL1
isogroup175290	Q7G6K7
isogroup175298	Q98ST7
isogroup175300	O30511
isogroup175309	Q0WNJ6
isogroup175323	Q0JIL1
isogroup175325	P33627
isogroup17533	P10587
isogroup175359	O42653
isogroup175369	Q805F3
isogroup175382	Q86YR5
isogroup175395	Q63184
isogroup175397	Q9ESX4
isogroup175406	P0CQ76
isogroup175420	Q9UT45
isogroup175425	Q8W103
isogroup175438	Q8CJM9
isogroup175501	B2W2N2
isogroup175511	P63389
isogroup175541	Q5IFN2
isogroup175551	Q8RXR2
isogroup175562	Q9NXG6
isogroup175589	Q8GY96
isogroup175590	P34140
isogroup175595	Q9H0B6
isogroup175643	P00791
isogroup175663	O15865
isogroup175667	P28178
isogroup175670	Q8NDL9
isogroup175671	Q68CQ7
isogroup175690	Q86AV9
isogroup175694	A2BIE7
isogroup175696	Q9H6K5
isogroup175733	Q8LCV1
isogroup175766	O42395
isogroup175787	O64730
isogroup175796	Q9V2G1
isogroup1758	Q5R978
isogroup175815	P76093
isogroup175859	Q3SYC2
isogroup175866	Q4PSE8
isogroup175867	Q5TZA2
isogroup175875	Q8C9A2
isogroup175881	Q5UQE9
isogroup175889	P28606
isogroup175941	Q6F3A6
isogroup175945	P09437
isogroup175949	P19485
isogroup175974	Q9ZPV5
isogroup176013	Q9XIG1
isogroup176016	Q869E1
isogroup176030	Q9VCA8
isogroup176036	Q9QXS1
isogroup176038	Q9XI84
isogroup176047	Q6JDV7
isogroup176071	Q6IMY8
isogroup176077	Q6NSN2
isogroup176087	Q12955
isogroup176113	P07192
isogroup176129	Q28CU0
isogroup176149	Q9LVQ8
isogroup176154	P54276
isogroup176205	Q55GU0
isogroup176210	Q9FLY5
isogroup176223	Q54FD8
isogroup176234	Q8GYX8
isogroup176246	Q9FGQ6
isogroup176247	Q8H1Z0
isogroup176254	Q02485
isogroup176257	Q57772
isogroup176278	Q01484
isogroup176296	Q9SII8
isogroup176300	P42784
isogroup176308	Q9CWY3
isogroup176338	Q9MZ19
isogroup176362	Q80Y20
isogroup176364	Q54EQ8
isogroup1764	Q6P268
isogroup176405	Q8L706
isogroup176418	P45798
isogroup176424	Q796P5
isogroup176442	Q0UXJ7
isogroup176444	O23247
isogroup176448	P08413
isogroup176469	P10587
isogroup176472	Q9CG20
isogroup176493	Q55BK0
isogroup176494	Q55680
isogroup176518	Q9SUK9
isogroup176534	Q9NGQ2
isogroup176538	O60161
isogroup176545	P22303
isogroup176549	P17972
isogroup176568	Q8NEY3
isogroup176588	Q55774
isogroup176659	Q4LDE5
isogroup176687	P55251
isogroup176718	O70507
isogroup176724	Q2UPB6
isogroup176727	Q8NSH9
isogroup176728	Q9ZS34
isogroup176744	Q0WVK7
isogroup176753	O61394
isogroup176764	Q5G872
isogroup176770	Q4P0G6
isogroup176777	Q29RZ9
isogroup176780	Q8NB25
isogroup176797	Q9LEV7
isogroup176810	O35316
isogroup176813	Q39709
isogroup176845	Q9UI26
isogroup176860	Q4R4S5
isogroup176863	A7KAU2
isogroup176866	Q9LT02
isogroup176883	Q6DIP9
isogroup176895	Q9JJ05
isogroup176912	Q80ZD3
isogroup176919	Q7SCY6
isogroup176920	Q14684
isogroup176951	Q54DK4
isogroup176952	A2A4P0
isogroup176978	P80067
isogroup177001	Q39238
isogroup177013	P28178
isogroup177028	O46043
isogroup177035	Q94AC1
isogroup177079	Q61371
isogroup177108	A8ILK1
isogroup177110	O49160
isogroup177120	Q9UQ07
isogroup177124	Q8NF37
isogroup177131	Q7Z478
isogroup177169	Q9JI55
isogroup177199	Q5EAR5
isogroup177205	Q02280
isogroup177224	Q8VQ99
isogroup177234	Q8IVS2
isogroup177260	O45923
isogroup177264	Q05744
isogroup177269	A8I4E9
isogroup177298	Q9LSV0
isogroup177300	O08638
isogroup177322	I1K0K6
isogroup177325	P54609
isogroup177401	Q99MB4
isogroup177404	Q8GZ26
isogroup177424	Q5ATG5
isogroup177437	Q15349
isogroup177441	Q9SJU5
isogroup177442	Q96P50
isogroup177444	Q9SRE0
isogroup177445	A9BF03
isogroup177450	Q9R053
isogroup177455	Q12797
isogroup177472	Q9I2Y2
isogroup177488	Q8RVL1
isogroup177495	Q7RAV5
isogroup177516	O14686
isogroup177545	Q9WUT3
isogroup177550	Q9CXK4
isogroup17756	B9JEJ1
isogroup177563	Q80UG8
isogroup177577	Q9NWL6
isogroup177581	Q75VR0
isogroup177584	P75330
isogroup177597	Q6WZ18
isogroup177638	Q93VG8
isogroup177654	Q91YK0
isogroup177656	Q9CQ79
isogroup177683	Q9VAQ5
isogroup177694	Q8RWB8
isogroup177709	P36993
isogroup177724	P84104
isogroup177730	Q9FN03
isogroup177742	Q10051
isogroup177752	P22316
isogroup177792	Q5DX34
isogroup177798	A2A259
isogroup177815	Q9LQ04
isogroup177830	O15865
isogroup177877	Q56YN8
isogroup177906	P40974
isogroup177930	Q9S281
isogroup177943	Q9LIC2
isogroup177965	Q9P7P8
isogroup178055	Q6L5F5
isogroup178068	Q10138
isogroup178070	P53273
isogroup178075	O48844
isogroup178076	Q3UHX9
isogroup178103	A5D6U8
isogroup178114	P63622
isogroup178116	A8WN56
isogroup178134	Q13416
isogroup178143	A6PWD2
isogroup178149	Q8W036
isogroup178155	A7E2Y1
isogroup178174	P9WKM1
isogroup178222	Q8W4R8
isogroup178239	Q9R9J1
isogroup178253	Q0IUU4
isogroup178260	Q5UQK0
isogroup178269	P21448
isogroup178297	O74327
isogroup178303	P13667
isogroup178313	Q61880
isogroup178321	Q4R3A0
isogroup178331	Q39055
isogroup178345	P72622
isogroup178362	Q5UNS8
isogroup178370	G5E8K5
isogroup178395	Q6AYD3
isogroup178403	Q86TZ1
isogroup178408	B2ICI8
isogroup178410	Q4U2R1
isogroup178418	Q7RTR2
isogroup178422	Q6GER3
isogroup178430	Q9ERD9
isogroup178433	P45377
isogroup178437	O75808
isogroup178444	Q6FPH2
isogroup178504	O59790
isogroup178509	Q76C99
isogroup178512	Q16P20
isogroup178528	A2A259
isogroup178536	Q14204
isogroup178556	Q8U530
isogroup178585	Q1D823
isogroup178598	Q1HFZ0
isogroup178607	B2HIL7
isogroup178640	Q402E2
isogroup178662	P43394
isogroup178663	O51798
isogroup178684	Q6NXM2
isogroup178695	Q9V0L2
isogroup178699	Q9FIY7
isogroup178700	P04785
isogroup178729	P25071
isogroup178732	Q61316
isogroup178735	C7J0A2
isogroup178746	B8A4F4
isogroup178762	Q9KG32
isogroup178763	Q6S5H8
isogroup178777	Q9JLC6
isogroup178803	O08638
isogroup178827	O02776
isogroup178836	P22147
isogroup178854	Q9D8U7
isogroup178857	Q8W0Y9
isogroup178861	Q921I2
isogroup178864	Q5ZLV4
isogroup178900	Q5IH14
isogroup178903	Q39493
isogroup178915	P0DP90
isogroup178927	Q8IBS5
isogroup178956	Q9P3U1
isogroup178981	Q55680
isogroup178984	O43048
isogroup178990	Q5E9B7
isogroup178998	Q9BQ70
isogroup179047	P62343
isogroup17905	Q9LW07
isogroup179085	P35088
isogroup179095	A0JNG0
isogroup179099	Q5FVN8
isogroup179101	P54689
isogroup179117	Q96AE4
isogroup179118	Q02356
isogroup17912	P23013
isogroup179121	P46942
isogroup179130	F4ILR7
isogroup179141	Q9UGP5
isogroup179142	O15865
isogroup179145	Q9VBX1
isogroup179147	Q5VRB2
isogroup179149	O76840
isogroup179156	O48802
isogroup179193	Q12091
isogroup179197	Q91ZR4
isogroup179203	Q75JD5
isogroup179208	P16100
isogroup179231	Q64VX4
isogroup179275	O13024
isogroup179279	Q5LT18
isogroup179284	Q59516
isogroup179285	Q9JKA8
isogroup179297	Q96AY4
isogroup179305	P41001
isogroup179308	Q8VY00
isogroup17933	Q9M2C4
isogroup179350	Q8CCF0
isogroup179362	Q6TDP4
isogroup179367	Q69QJ7
isogroup179377	Q8WUI4
isogroup179385	O14166
isogroup179397	Q84L08
isogroup179398	Q803I8
isogroup179412	Q4R803
isogroup179423	O24308
isogroup179441	Q9SIC9
isogroup1794410	Q9SIC9
isogroup1794411	Q9SIC9
isogroup1794412	Q9SIC9
isogroup179442	C5BP42
isogroup179464	O15460
isogroup179469	P50107
isogroup179485	Q7Z494
isogroup179502	Q9DBM1
isogroup179505	P51563
isogroup179509	P11448
isogroup179522	Q9Y6D6
isogroup179531	O64642
isogroup179549	Q8NFD2
isogroup179578	Q9TV66
isogroup179590	Q24JN5
isogroup179605	Q8LCU7
isogroup179620	Q7XTT4
isogroup179637	O13971
isogroup179649	Q9LVE4
isogroup179685	Q9DA39
isogroup179686	P86933
isogroup179687	Q04462
isogroup179696	P16228
isogroup179721	Q8R431
isogroup179722	Q24574
isogroup179726	Q7ZUW2
isogroup179736	Q4G381
isogroup179737	O13911
isogroup179764	Q60HC5
isogroup179795	Q89AI9
isogroup179796	Q9D0L4
isogroup179809	Q5DU56
isogroup179815	P81760
isogroup179821	Q8CFW7
isogroup179825	B9K7Z6
isogroup179861	Q681N2
isogroup179864	Q9JI69
isogroup179870	Q2R2B4
isogroup179874	Q5UQE9
isogroup179882	Q12955
isogroup179900	P30638
isogroup179917	Q5QM84
isogroup179923	A2A690
isogroup179924	B0UPJ6
isogroup179928	Q8WZ42
isogroup179990	Q4G338
isogroup179995	B6EUA9
isogroup180030	Q6K3T2
isogroup180038	Q75WS4
isogroup180051	A5PK40
isogroup180062	Q29441
isogroup180063	B9G2X9
isogroup180104	Q8L7L1
isogroup180127	Q0A982
isogroup180138	Q6IR74
isogroup180150	Q8IZ69
isogroup180152	Q6AYL4
isogroup180177	O81629
isogroup180182	Q9WZ49
isogroup180189	O85304
isogroup180194	Q93Z66
isogroup180196	P9WJV5
isogroup180200	Q562D6
isogroup180216	Q8C8R3
isogroup180218	F4ILR7
isogroup180223	Q7XJ96
isogroup180240	P58195
isogroup180257	P25631
isogroup180267	Q9H1D9
isogroup180271	P52186
isogroup180326	O82318
isogroup180341	P84466
isogroup180357	P28036
isogroup180359	O15078
isogroup180361	Q3ED68
isogroup180372	Q8L850
isogroup180376	Q9JKB0
isogroup180396	P39692
isogroup180401	C5FLR8
isogroup180405	Q8LKI3
isogroup180410	Q16654
isogroup180427	Q54MJ9
isogroup180428	A9CJC9
isogroup180431	Q9QYI8
isogroup180444	Q9TT16
isogroup180462	Q9P3A7
isogroup180468	O74965
isogroup180472	Q94AS5
isogroup180473	Q5AI90
isogroup180482	Q55CT0
isogroup180500	Q9FJ81
isogroup180505	Q9LZ06
isogroup180520	A0JM23
isogroup180522	A0B5R0
isogroup180544	Q9FV52
isogroup180551	Q9C641
isogroup180554	Q20390
isogroup180579	O26884
isogroup180592	Q96M32
isogroup180611	Q9R1C0
isogroup180615	O80513
isogroup180629	P27766
isogroup180631	Q02981
isogroup180666	P9WI79
isogroup180671	Q6IMY8
isogroup180679	Q41249
isogroup180688	Q5REW9
isogroup180699	Q54J34
isogroup180751	P07259
isogroup180757	A7MB73
isogroup180771	P83335
isogroup180797	Q9ATN4
isogroup180805	P21128
isogroup180806	Q76L36
isogroup180818	Q8CI04
isogroup180828	Q8W490
isogroup180831	Q6AYI2
isogroup180833	Q0CMT2
isogroup180835	Q9WTV7
isogroup180862	P52187
isogroup180888	Q9C5Y4
isogroup180912	Q9FVQ4
isogroup180919	Q9ARF9
isogroup180954	Q6AFL2
isogroup180981	F4JTE7
isogroup180998	A1A5G0
isogroup181001	Q3V384
isogroup181010	O75197
isogroup181015	O75884
isogroup181024	Q8CDU5
isogroup181049	O18956
isogroup181060	P31320
isogroup181063	Q9IBG7
isogroup181066	Q8H0T4
isogroup181080	O86230
isogroup181089	Q567B1
isogroup181094	Q96IG2
isogroup181098	O82251
isogroup181104	Q8IWZ3
isogroup181108	Q9QXA5
isogroup181183	P0C6B8
isogroup181186	Q5UPG5
isogroup181189	F4JCQ3
isogroup181190	Q45826
isogroup181196	Q9NKW1
isogroup181221	Q7Z406
isogroup181224	Q9JI55
isogroup181232	Q9FYC2
isogroup181244	Q9C5J6
isogroup181249	Q9SQH9
isogroup181255	Q54E49
isogroup181267	Q8VDD5
isogroup181277	Q9SYH3
isogroup181284	Q00647
isogroup181288	Q3MIE0
isogroup181299	O43292
isogroup181301	P77234
isogroup181304	Q0WQK2
isogroup181313	Q5RDA4
isogroup181326	P0DKC4
isogroup181333	P04630
isogroup181345	Q9VVW5
isogroup181346	Q24270
isogroup181348	Q6PGC1
isogroup181353	Q6C2X0
isogroup181356	Q8W5R5
isogroup181362	Q54I71
isogroup181370	Q6AWX0
isogroup181372	Q21221
isogroup181377	Q9HAB8
isogroup181404	Q96Q83
isogroup181408	Q25452
isogroup181410	Q9UQW6
isogroup181415	Q9JI55
isogroup181447	Q9LT25
isogroup181475	Q8AV84
isogroup181481	Q2R2W1
isogroup181482	O94289
isogroup181494	Q0GYU4
isogroup181497	A6WYH5
isogroup181501	Q9R0M8
isogroup181502	Q9M041
isogroup181508	Q54T82
isogroup181527	Q54FR4
isogroup181551	Q54MI3
isogroup181557	Q5BK30
isogroup181561	Q9I830
isogroup181564	Q54HC6
isogroup181566	Q0WPT7
isogroup181597	Q82WZ5
isogroup181600	G3GBU7
isogroup181603	Q0JJS8
isogroup181613	Q03042
isogroup181615	Q9X0Y1
isogroup181616	Q9LZK5
isogroup181624	Q55FV8
isogroup181637	Q810L3
isogroup181642	Q8L5Y9
isogroup181654	Q9UM54
isogroup181671	Q851F9
isogroup181689	Q8BYA0
isogroup181691	Q8IYE1
isogroup181695	Q28ID3
isogroup181698	Q86JM5
isogroup181699	Q93AM1
isogroup181705	Q9JJY4
isogroup181716	Q9TTU3
isogroup181720	P0CL94
isogroup181722	Q9NJU9
isogroup181729	P02599
isogroup181746	Q8ZPI0
isogroup181756	Q5HZW3
isogroup181759	G5CEW6
isogroup181764	Q8R2H4
isogroup181771	Q00766
isogroup181781	Q2TGJ4
isogroup181784	B8N0E7
isogroup181786	Q558K8
isogroup181788	Q9ULJ7
isogroup181809	Q5U483
isogroup181819	P79051
isogroup181829	Q9LMT2
isogroup181830	Q99758
isogroup181850	P82970
isogroup181864	Q9ZGI4
isogroup181874	Q54VF4
isogroup181907	Q0WMY5
isogroup181913	Q9C0G6
isogroup181921	P55474
isogroup181930	Q45826
isogroup181931	P84076
isogroup181933	D3DFG8
isogroup181934	Q0IQB6
isogroup181940	Q8K1E6
isogroup181942	Q96CN4
isogroup181944	A1Z713
isogroup181947	Q9FVN0
isogroup181957	F4JKK0
isogroup181958	P14002
isogroup181964	Q9FV50
isogroup181982	Q9CZV8
isogroup181992	Q7XYM4
isogroup18201	Q6WWW4
isogroup182010	Q91WC9
isogroup182012	Q9P0X4
isogroup182015	Q3MFQ8
isogroup182024	Q9FM04
isogroup182031	Q9UPR5
isogroup182039	Q9MAA2
isogroup182041	Q59QL0
isogroup182044	P70269
isogroup182059	Q9Y5Q9
isogroup182098	Q4I8Q4
isogroup182111	Q68FK8
isogroup182112	Q54WW7
isogroup182117	P54802
isogroup182123	Q00808
isogroup182124	P0A9H7
isogroup182133	Q54GS1
isogroup182134	Q5FWL4
isogroup182140	Q9VGH7
isogroup182141	Q0VGM9
isogroup182145	O88587
isogroup182155	Q9ZPJ8
isogroup182165	Q9VBP3
isogroup182168	A7E2V1
isogroup182172	P19485
isogroup182186	Q29RI9
isogroup182191	Q9FK81
isogroup182192	Q54CR9
isogroup182203	O88422
isogroup182215	Q02357
isogroup182226	Q562C4
isogroup182248	P60040
isogroup182261	Q03601
isogroup182276	Q588V7
isogroup182305	P0DMN0
isogroup182327	O49289
isogroup182330	Q28IH8
isogroup182336	Q8N3P4
isogroup182343	Q63170
isogroup182344	Q8K4T4
isogroup182355	Q8WU67
isogroup182356	P94078
isogroup182358	P81748
isogroup182368	Q4WRQ4
isogroup182369	P0CR00
isogroup182371	Q50KB1
isogroup182376	P74334
isogroup182384	Q9S9U0
isogroup182400	Q52I78
isogroup182405	P47980
isogroup182413	Q8SPR7
isogroup182424	Q55FV8
isogroup182430	Q93HT9
isogroup182437	Q8L794
isogroup182453	P21334
isogroup182455	O54853
isogroup182456	A2AVA0
isogroup182457	Q5BLE8
isogroup182468	Q60952
isogroup182469	O60447
isogroup182471	A4SGY4
isogroup182478	Q9LR78
isogroup182482	Q9LKR3
isogroup182487	O82018
isogroup182499	P9WLZ3
isogroup182522	P33550
isogroup182523	O97860
isogroup182531	A6H8Z2
isogroup182535	Q6PFX9
isogroup182546	Q4L3J7
isogroup182553	Q93008
isogroup182558	Q9BY78
isogroup182560	P23548
isogroup182561	Q9TV66
isogroup182563	Q9RA11
isogroup182577	P14735
isogroup182581	Q9DBT5
isogroup182585	Q54RP6
isogroup182607	Q95WA0
isogroup182608	Q9Y3Q4
isogroup182618	C5BSJ0
isogroup182619	Q8BL66
isogroup182630	P04839
isogroup182641	Q9ALJ4
isogroup182645	Q04195
isogroup182653	Q80U87
isogroup182675	Q21122
isogroup182683	P22717
isogroup182684	Q08473
isogroup182698	Q9SZ30
isogroup182706	P41932
isogroup182708	Q45826
isogroup182715	Q09621
isogroup182717	Q5UQL9
isogroup182725	O88587
isogroup182726	Q8NI08
isogroup182730	Q56X76
isogroup182735	Q54BM3
isogroup182739	Q03132
isogroup182746	P0CS66
isogroup182749	G2NFJ9
isogroup182760	Q9C5J3
isogroup182768	P0C198
isogroup182773	Q9ZVN2
isogroup182775	B2GV05
isogroup182777	Q9FPS9
isogroup182785	P07259
isogroup182788	Q9JKA9
isogroup182811	O80668
isogroup182823	Q09M05
isogroup182833	Q9FF18
isogroup182842	Q56Y42
isogroup182849	Q8BSY0
isogroup182855	Q8GY96
isogroup182876	Q9SVV9
isogroup182878	Q39709
isogroup182891	Q54CX4
isogroup182899	Q7RAH3
isogroup182903	B5X4H8
isogroup182909	F4KHD8
isogroup182913	Q2PQA9
isogroup182932	Q6B907
isogroup182937	Q7Z4H8
isogroup182938	Q93Y08
isogroup182949	P91645
isogroup182964	Q9C660
isogroup182969	Q8BNL5
isogroup182984	Q500W7
isogroup182987	P17221
isogroup182994	Q92177
isogroup183012	P14749
isogroup183014	P28644
isogroup183034	Q21221
isogroup183042	Q2XQU3
isogroup183049	Q40296
isogroup183059	Q8WWF8
isogroup183061	A8KBL5
isogroup183076	Q4LDE5
isogroup183077	A4QN56
isogroup183097	Q10728
isogroup183105	P08965
isogroup183113	Q8YRI1
isogroup183116	P52948
isogroup183117	O19015
isogroup183120	Q0WLC6
isogroup183123	Q10RZ1
isogroup183135	Q6AXF6
isogroup183140	A2ASS6
isogroup183147	Q03042
